URL,Complex Name,Address
https://www.apartments.com/the-villages-at-oakleaf-orange-park-fl/tbx1l59/,The Villages at Oakleaf,"573 Oakleaf Plantation Pky, Orange Park, FL 32065"
https://www.apartments.com/park-village-orange-park-fl/lgfp22d/,Park Village,"741 Park Ave, Orange Park, FL 32073"
https://www.apartments.com/the-atwater-at-nocatee-ponte-vedra-fl/3jc7s8f/,The Atwater at Nocatee,"50 Pine Shadow Pky, Ponte Vedra, FL 32081"
https://www.apartments.com/cadence-at-nocatee-ponte-vedra-fl/31nltlf/,Cadence at Nocatee,"380 Burbank Ave, Ponte Vedra, FL 32081"
https://www.apartments.com/creekfront-at-deerwood-jacksonville-fl/31zf0se/,Creekfront at Deerwood,"9803 Creekfront Rd, Jacksonville, FL 32256"
https://www.apartments.com/the-residences-at-enso-jacksonville-fl/qp0ysew/,The Residences at Enso,"3650 Enso Way, Jacksonville, FL 32224"
https://www.apartments.com/cypress-cove-jacksonville-fl/jltzr74/,Cypress Cove,"11110 Atlantic Blvd, Jacksonville, FL 32225"
https://www.apartments.com/avenue-at-timberlin-park-jacksonville-fl/pt2r38s/,Avenue at Timberlin Park,"7635 Timberlin Park Blvd, Jacksonville, FL 32256"
https://www.apartments.com/villas-at-st-johns-apartments-jacksonville-fl/w451jnj/,Villas at St Johns Apartments,"7595 Baymeadows Cir W, Jacksonville, FL 32256"
https://www.apartments.com/atlantica-apartments-jacksonville-fl/c6qht9f/,Atlantica Apartments,"2760 Mayport Rd, Jacksonville, FL 32233"
https://www.apartments.com/cue-luxury-living-jacksonville-fl/6p5ycdv/,Cue Luxury Living,"13504 Citicards Way, Jacksonville, FL 32258"
https://www.apartments.com/corner-on-main-jacksonville-fl/0mqqcd2/,Corner on Main,"1148 N Main St, Jacksonville, FL 32206"
https://www.apartments.com/avion-apartments-jacksonville-fl/7mrh3xx/,Avion Apartments,"12525 Tibbets Ln, Jacksonville, FL 32218"
https://www.apartments.com/the-station-at-san-marco-jacksonville-fl/bvtt759/,The Station at San Marco,"1300 Hendricks Ave, Jacksonville, FL 32207"
https://www.apartments.com/the-carlyle-at-bartram-park-jacksonville-fl/nrbd2rq/,The Carlyle at Bartram Park,"14701 Bartram Park Blvd, Jacksonville, FL 32258"
https://www.apartments.com/river-city-place-jacksonville-fl/l8p73re/,River City Place,"1275 Dunn Ave, Jacksonville, FL 32218"
https://www.apartments.com/mirador-stovall-at-river-city-jacksonville-fl/f6q33yr/,Mirador & Stovall at River City,"13100 Broxton Bay Dr, Jacksonville, FL 32218"
https://www.apartments.com/hillwood-pointe-apartments-jacksonville-fl/290n97b/,Hillwood Pointe Apartments,"12021 McCormick Rd, Jacksonville, FL 32225"
https://www.apartments.com/mirage-on-kernan-jacksonville-fl/k2kryv8/,Mirage on Kernan,"3601 Kernan Blvd S, Jacksonville, FL 32224"
https://www.apartments.com/the-waterford-at-mandarin-apartments-jacksonville-fl/h74n7q2/,The Waterford at Mandarin Apartments,"11247 San Jose Blvd, Jacksonville, FL 32223"
https://www.apartments.com/club-at-charter-pointe-jacksonville-fl/v579s1g/,Club at Charter Pointe,"5501 University Club Blvd N, Jacksonville, FL 32277"
https://www.apartments.com/steele-creek-jacksonville-fl/j99he35/,STEELE CREEK,"8599 AC Skinner Pky, Jacksonville, FL 32256"
https://www.apartments.com/lofts-at-murray-hill-jacksonville-fl/r1cl090/,Lofts at Murray Hill,"840 Edgewood Ave S, Jacksonville, FL 32205"
https://www.apartments.com/the-villas-at-dames-point-crossing-jacksonville-fl/2hrqlpc/,The Villas at Dames Point Crossing,"8291 Dames Point Crossing Blvd, Jacksonville, FL 32277"
https://www.apartments.com/the-coast-at-ponte-vedra-lakes-ponte-vedra-beach-fl/hhk6902/,The Coast at Ponte Vedra Lakes,"611 Ponte Vedra Lakes Blvd, Ponte Vedra Beach, FL 32082"
https://www.apartments.com/reserve-at-orange-park-orange-park-fl/2p8c5zb/,Reserve at Orange Park,"350 Crossings Blvd, Orange Park, FL 32073"
https://www.apartments.com/maa-tapestry-park-jacksonville-fl/ff6j8es/,MAA Tapestry Park,"9734 Tapestry Park Cir, Jacksonville, FL 32246"
https://www.apartments.com/courtney-meadows-jacksonville-fl/39cps3d/,Courtney Meadows,"7820 Baymeadows Rd E, Jacksonville, FL 32256"
https://www.apartments.com/park-7200-jacksonville-fl/sjtxhv4/,Park @ 7200,"7200 Powers Ave, Jacksonville, FL 32217"
https://www.apartments.com/lakewood-village-jacksonville-fl/4qe5gql/,Lakewood Village,"1542 Arcadia Dr, Jacksonville, FL 32207"
https://www.apartments.com/note-jacksonville-fl/cr9cw0e/,Note,"14041 Hyatt Rd, Jacksonville, FL 32218"
https://www.apartments.com/vernon-terrace-apartments-jacksonville-fl/689mkvt/,Vernon Terrace Apartments,"2737-2749 Vernon Ter, Jacksonville, FL 32205"
https://www.apartments.com/the-strand-jacksonville-fl/ss44977/,The Strand,"1401 Riverplace Blvd, Jacksonville, FL 32207"
https://www.apartments.com/avery-jacksonville-fl/7sfvp1x/,Avery,"14200 Duval Rd, Jacksonville, FL 32218"
