Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Longitude,Latitude,geometry,x_jittered,y_jittered,Neighborhood,DollarperSqFoot,NeighborhoodNumber
50,Bella,2208.0,Unit 14138,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076564.098789416,3521765.5255853897,2,1.5816618911174785,2
51,Bella,2650.0,Unit 14124,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076561.069018826,3521768.8766055186,2,1.898280802292264,2
52,Bella,2650.0,Unit 14157,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076577.32948986,3521776.053914787,2,1.898280802292264,2
53,Bella,2650.0,Unit 14158,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076573.557481345,3521762.413336448,2,1.898280802292264,2
54,Bella,2650.0,Unit 14118,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076572.68394062,3521767.6192623503,2,1.898280802292264,2
55,Bella,2650.0,Unit 14143,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076571.258583916,3521770.3579179016,2,1.898280802292264,2
56,Bella,2675.0,Unit 14117,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",-81.536207600281,30.141658843561,POINT (-9076569.111277923 3521771.7941252715),-9076562.57767184,3521770.452094592,2,1.916189111747851,2
57,The Forsyth,1157.0,Unit 1505,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090270.914635109,3545767.8904794515,0,1.951096121416526,0
58,The Forsyth,1174.0,Unit 1105,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090267.866759524,3545780.615694025,0,1.9797639123102864,0
59,The Riverside,1284.0,Unit 1003,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090279.691375362,3545762.44170776,0,2.4692307692307693,0
60,The Riverside,1284.0,Unit 1103,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090273.627149336,3545778.638290316,0,2.4692307692307693,0
61,The Riverside,1284.0,Unit 1203,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090278.367689148,3545768.4587833886,0,2.4692307692307693,0
62,The Riverside,1284.0,Unit 0803,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090285.971437316,3545765.205030785,0,2.4692307692307693,0
63,The LaVilla,1349.0,Unit 1001,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090285.989003606,3545769.14379869,0,2.134493670886076,0
64,The LaVilla,1349.0,Unit 1101,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090272.409548068,3545772.8582334435,0,2.134493670886076,0
65,The LaVilla,1334.0,Unit 0801,632.0,May 4,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202",-81.6593479,30.3279317,POINT (-9090277.026738774 3545772.4364646887),-9090280.544154938,3545766.350274984,0,2.1107594936708862,0
