Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/14297-fish-eagle-dr-e-jacksonville-fl/fdrgclr/,3 Bedroom | 2 Bathroom,$2226,,"1,936 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/1188-wild-azalea-dr-jacksonville-fl/ygll5xs/,3 Bedroom | 2 Bathroom,$1979,,"2,087 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/3600-lenin-peak-ct-jacksonville-fl-unit-5/02e7vy2/,3 Bedroom | 2 Bathroom,$1197,,940 sq ft,Nov 18,2 bd,2 ba
https://www.apartments.com/4726-herta-rd-jacksonville-fl/ddfy4yl/,3 Bedroom | 2 Bathroom,$1550,,"1,467 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/1580-w-19th-st-jacksonville-fl-unit-2/shzj8q6/,3 Bedroom | 2 Bathroom,$839,,676 sq ft,Nov 18,2 bd,1 ba
https://www.apartments.com/1991-w-4th-st-jacksonville-fl/sq3jgz4/,3 Bedroom | 2 Bathroom,$1239,,"1,128 sq ft",Nov 18,3 bd,1 ba
https://www.apartments.com/8428-thornbush-ct-jacksonville-fl/y0wdhlr/,3 Bedroom | 2 Bathroom,$1500,,"1,184 sq ft",Nov 18,2 bd,2.5 ba
https://www.apartments.com/1203-grant-st-jacksonville-fl/0y7k6c2/,3 Bedroom | 2 Bathroom,$1299,,"1,022 sq ft",Nov 18,2 bd,2.5 ba
https://www.apartments.com/10320-mayan-dr-jacksonville-fl/rpsj781/,3 Bedroom | 2 Bathroom,$1500,,"1,611 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/5811-atlantic-blvd-jacksonville-fl-unit-73/xs2x0dq/,3 Bedroom | 2 Bathroom,$1495,,"1,018 sq ft",Nov 18,2 bd,2 ba
https://www.apartments.com/2550-w-30th-st-jacksonville-fl/ee4n89n/,3 Bedroom | 2 Bathroom,$1122,,920 sq ft,Nov 18,3 bd,1.5 ba
https://www.apartments.com/15698-stedman-lake-dr-jacksonville-fl/6cy4prs/,3 Bedroom | 2 Bathroom,$2091,,"2,030 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/631-blodgetts-ln-jacksonville-fl/769zv6w/,3 Bedroom | 2 Bathroom,$1200,,924 sq ft,Nov 18,2 bd,2.5 ba
https://www.apartments.com/6835-majorca-ct-jacksonville-fl/3bhl9pg/,3 Bedroom | 2 Bathroom,$1649,,"1,530 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/2675-lantana-lakes-dr-e-jacksonville-fl/0v8fjp0/,3 Bedroom | 2 Bathroom,$2000,,"1,491 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/11093-mandarin-station-dr-e-jacksonville-fl/30gkk8e/,3 Bedroom | 2 Bathroom,$2215,,"2,335 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/15037-bulow-creek-dr-jacksonville-fl/g7g1jyw/,3 Bedroom | 2 Bathroom,$2430,,"2,401 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/5204-armsgate-ct-jacksonville-fl/c79ewhd/,3 Bedroom | 2 Bathroom,$2430,,"2,706 sq ft",Nov 18,4 bd,4 ba
https://www.apartments.com/8246-rigel-rd-jacksonville-fl/tbw6j29/,3 Bedroom | 2 Bathroom,$1605,,"1,358 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/12200-sapp-rd-jacksonville-fl/y49mbbv/,3 Bedroom | 2 Bathroom,$2130,,"1,700 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/8102-buttercup-st-jacksonville-fl/k8d2z69/,3 Bedroom | 2 Bathroom,$1554,,"1,230 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/2123-moncrief-rd-jacksonville-fl/xypq1mn/,3 Bedroom | 2 Bathroom,$1249,,"1,148 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/8570-susie-st-jacksonville-fl/6xtptjt/,3 Bedroom | 2 Bathroom,$1496,,"1,209 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/8424-vining-st-jacksonville-fl/yxsftvt/,3 Bedroom | 2 Bathroom,$1642,,"1,665 sq ft",Nov 18,4 bd,2.5 ba
https://www.apartments.com/11097-apple-blossom-trl-e-jacksonville-fl/01qb321/,3 Bedroom | 2 Bathroom,$2015,,"2,228 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/10235-meadow-pointe-dr-jacksonville-fl/492swbk/,3 Bedroom | 2 Bathroom,$2595,,"2,646 sq ft",Nov 18,5 bd,3 ba
https://www.apartments.com/10120-lancashire-dr-jacksonville-fl/hp65d33/,3 Bedroom | 2 Bathroom,$2070,,"2,270 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/2486-glassy-water-ln-jacksonville-fl/edf26wm/,3 Bedroom | 2 Bathroom,$2545,,"1,960 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/9826-chirping-way-jacksonville-fl/4x6h7ll/,3 Bedroom | 2 Bathroom,$1660,,"1,354 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/9551-watershed-dr-e-jacksonville-fl/d6h0lbl/,3 Bedroom | 2 Bathroom,$1750,,"1,675 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/6102-sage-willow-way-jacksonville-fl/qdtp1qw/,3 Bedroom | 2 Bathroom,$1695,,"1,466 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/5657-village-pond-cir-jacksonville-fl/1p7h4j7/,3 Bedroom | 2 Bathroom,$1910,,"1,808 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/11345-landing-estates-dr-jacksonville-fl/mk0cy8k/,3 Bedroom | 2 Bathroom,$2820,,"2,881 sq ft",Nov 18,5 bd,4 ba
https://www.apartments.com/7992-seahaven-ct-jacksonville-fl/2yng2y9/,3 Bedroom | 2 Bathroom,$1940,,"1,690 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/3488-ayrshire-st-jacksonville-fl/80m71d1/,3 Bedroom | 2 Bathroom,$1545,,"1,434 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/12366-deersong-dr-n-jacksonville-fl/xpvefhp/,3 Bedroom | 2 Bathroom,$1935,,"1,739 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/7491-volley-dr-n-jacksonville-fl/s30d5h7/,3 Bedroom | 2 Bathroom,$1940,,"1,479 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/2334-eisner-dr-jacksonville-fl/3myj8ce/,3 Bedroom | 2 Bathroom,$1970,,"1,972 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/1943-wages-way-s-jacksonville-fl/xstf0mm/,3 Bedroom | 2 Bathroom,$2460,,"2,984 sq ft",Nov 18,5 bd,4 ba
https://www.apartments.com/6718-morse-glen-ln-jacksonville-fl/0525yw2/,3 Bedroom | 2 Bathroom,$1725,,"1,465 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/3028-bright-eagle-dr-jacksonville-fl/4rwq4wh/,3 Bedroom | 2 Bathroom,$2265,,"2,343 sq ft",Nov 18,4 bd,2.5 ba
https://www.apartments.com/11673-brian-lakes-dr-jacksonville-fl/p4pps0r/,3 Bedroom | 2 Bathroom,$2180,,"3,311 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/8074-shadwell-ct-jacksonville-fl/sgrxfq6/,3 Bedroom | 2 Bathroom,$1830,,"1,673 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/2402-brian-lakes-dr-e-jacksonville-fl/2vkz688/,3 Bedroom | 2 Bathroom,$1940,,"2,225 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/3676-lydia-terrace-jacksonville-fl/q9vxn7z/,3 Bedroom | 2 Bathroom,$2050,,"2,201 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/13234-companion-cir-s-jacksonville-fl/f0fjb0s/,3 Bedroom | 2 Bathroom,$2560,,"1,935 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/8169-glasgow-ct-jacksonville-fl/w7b97jh/,3 Bedroom | 2 Bathroom,$1905,,"1,828 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/12762-megan-jean-ct-jacksonville-fl/zm3tm9w/,3 Bedroom | 2 Bathroom,$2195,,"2,527 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/7468-carriage-side-ct-jacksonville-fl/4fxnpgl/,3 Bedroom | 2 Bathroom,$2150,,"1,704 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/11374-brian-lakes-dr-jacksonville-fl/ftsj20t/,3 Bedroom | 2 Bathroom,$1975,,"2,156 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/549-chancellor-dr-e-jacksonville-fl/hdnetp3/,3 Bedroom | 2 Bathroom,$2095,,"1,812 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/7388-steventon-way-jacksonville-fl/rj703s0/,3 Bedroom | 2 Bathroom,$1830,,"1,705 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/8220-abbeyfield-dr-jacksonville-fl/ftlfn0v/,3 Bedroom | 2 Bathroom,$1930,,"1,648 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/1008-durbin-parke-dr-jacksonville-fl/k58l1lc/,3 Bedroom | 2 Bathroom,$3045,,"2,671 sq ft",Nov 18,4 bd,3 ba
https://www.apartments.com/1925-mcgirts-point-blvd-jacksonville-fl/bygcpl9/,3 Bedroom | 2 Bathroom,$1935,,"1,844 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/13619-las-brisas-way-jacksonville-fl/4bl1mek/,3 Bedroom | 2 Bathroom,$2345,,"1,808 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/8511-highfield-ave-jacksonville-fl/xpelb2q/,3 Bedroom | 2 Bathroom,$2275,,"2,050 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/6381-louis-clark-ct-jacksonville-fl/qrn2cty/,3 Bedroom | 2 Bathroom,$1575,,"1,729 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/481-portobello-dr-jacksonville-fl/n8dy4km/,3 Bedroom | 2 Bathroom,$2200,,"2,424 sq ft",Nov 18,3 bd,3 ba
https://www.apartments.com/4393-queensway-dr-jacksonville-fl/mbgw4wh/,3 Bedroom | 2 Bathroom,$1895,,"1,363 sq ft",Nov 18,3 bd,2 ba
