URL,Name,Address,Rent,Beds
https://www.apartments.com/soba-apartments-jacksonville-fl/8wtt583/,SoBA Apartments,"1444 Home St, Jacksonville, FL 32207","$1,360 - $2,648",1-3 Beds
https://www.apartments.com/san-marco-promenade-jacksonville-fl/lxnyf8d/,San Marco Promenade,"1905 Promenade Way, Jacksonville, FL 32207","$1,331 - $2,843",1-3 Beds
https://www.apartments.com/vista-brooklyn-apartments-jacksonville-fl/vk8ltce/,Vista Brooklyn Apartments,"200 Riverside Ave, Jacksonville, FL 32202","$1,399 - $4,476",Studio - 3 Beds
https://www.apartments.com/lofts-at-jefferson-station-jacksonville-fl/y9c7j2s/,Lofts at Jefferson Station,"799 Water St, Jacksonville, FL 32204","$1,149",Studio - 3 Beds
https://www.apartments.com/lofts-at-baymeadows-i-resort-style-living-jacksonville-fl/0l2k8h0/,Lofts at Baymeadows I RESORT STYLE LIVING,"8050 Baymeadows Cir W, Jacksonville, FL 32256","$1,029 - $1,129",Studio
https://www.apartments.com/terrabella-jacksonville-fl/547f4mn/,Terrabella,"13723 Atlantic Blvd, Jacksonville, FL 32225","$1,953 - $6,354",1-3 Beds
https://www.apartments.com/tapestry-at-westland-village-jacksonville-fl/qk3mprw/,Tapestry at Westland Village,"6505 Collins Rd, Jacksonville, FL 32244","$1,320 - $1,945",Studio - 3 Beds
https://www.apartments.com/argyle-lake-at-oakleaf-town-center-jacksonville-fl/e4h1yzq/,Argyle Lake at Oakleaf Town Center,"9849 Crosshill Blvd, Jacksonville, FL 32222","$1,325 - $1,855",1-3 Beds
https://www.apartments.com/the-felix-jacksonville-fl/pr75y3t/,The Felix,"11723 Wells Creek Pky, Jacksonville, FL 32256","$1,356 - $3,033",1-3 Beds
https://www.apartments.com/rise-julington-jacksonville-fl/5kc5tzp/,RISE Julington,"12397 San Jose Blvd, Jacksonville, FL 32223","$1,544 - $4,775",1-3 Beds
https://www.apartments.com/fountainhead-apartments-jacksonville-fl/v498rgg/,Fountainhead Apartments,"7237 Corklan Dr, Jacksonville, FL 32258","$1,249 - $1,904",1-3 Beds
https://www.apartments.com/the-hendricks-at-san-marco-jacksonville-fl/t5my1r8/,The Hendricks at San Marco,"1520 Alford Pl, Jacksonville, FL 32207","$1,520 - $2,429",Studio - 2 Beds
https://www.apartments.com/lenox-cove-newly-designed-apartments-jacksonville-fl/8ktt8d0/,Lenox Cove | NEWLY-DESIGNED APARTMENTS,"8737 Baymeadows Rd, Jacksonville, FL 32256","$998 - $1,631",Studio - 2 Beds
